Source,Target,Weight
41,319,38
41,734,37
99,387,7
99,296,10
99,68,6
99,63,4
99,226,10
99,127,10
99,287,8
99,46,294
99,81,8
58,387,11
58,296,55
58,226,24
58,127,35
58,287,7
58,46,108
58,81,20
100,387,17
100,296,46
100,68,20
100,63,12
100,226,14
100,127,32
100,287,11
100,46,97
100,81,15
101,387,8
101,296,24
101,68,12
101,63,6
101,226,8
101,127,18
101,287,6
101,46,63
101,81,11
104,387,6
104,296,16
104,68,12
104,63,6
104,226,6
104,127,10
104,287,4
104,46,39
104,81,8
106,387,4
106,296,17
106,68,10
106,63,6
106,226,8
106,127,11
106,287,6
106,46,51
106,81,6
107,387,4
107,296,12
107,68,10
107,63,4
107,226,6
107,127,11
107,287,6
107,46,33
107,81,8
109,387,4
109,296,16
109,68,8
109,63,6
109,226,8
109,127,8
109,287,8
109,46,48
109,81,6
14,387,25
14,296,25
14,68,32
14,63,18
14,226,11
14,127,10
14,287,23
46,14,53
14,81,8
387,296,129
68,387,36
387,63,27
387,226,15
387,127,66
387,287,11
46,387,148
296,63,83
296,127,129
296,287,53
296,81,54
68,226,42
68,127,73
68,287,27
46,68,348
68,81,79
226,63,48
127,63,21
287,63,25
3,63,492
46,63,200
81,63,42
127,226,51
287,226,21
127,287,28
46,127,260
127,81,47
46,287,99
287,81,30
99,4,26
58,4,64
100,4,43
101,4,24
104,4,27
106,4,27
107,4,17
109,4,25
14,4,43
387,4,72
296,4,209
68,4,79
4,63,69
127,4,73
287,4,52
430,642,179
430,85,156
430,128,14
430,391,18
430,226,26
642,46,109
642,128,35
642,391,8
642,226,14
85,128,188
85,226,117
46,128,178
46,391,48
391,128,6
226,128,14
391,226,22
226,226,65
159,387,11
41,26,127
422,422,184
251,422,53
422,1,185
3,422,444
251,128,41
128,1,45
120,126,14
120,371,3
25,126,138
25,120,149
430,25,170
430,68,56
68,25,204
31,3,5
14,1,30
2,14,24
14,26,59
245,14,16
26,1,129
2,26,121
2,2,55
46,26,251
245,26,14
26,3,396
46,245,189
296,544,83
46,134,288
46,544,132
544,134,60
172,85,71
172,827,25
172,3,223
85,827,110
827,3,573
172,63,25
85,63,158
827,63,27
25,25,572
100,31,5
31,134,2
836,31,4
31,113,18
100,134,41
100,25,117
836,100,11
100,113,7
836,134,72
113,134,17
836,25,161
836,113,8
336,113,95
31,336,8
100,336,1
336,134,3
336,25,98
836,336,5
430,233,51
172,68,28
172,1,87
16,226,80
171,16,211
26,16,280
171,3,661
171,226,69
26,226,41
46,112,298
68,134,78
81,134,138
112,134,105
112,68,78
112,154,114
46,154,286
68,154,59
154,81,52
371,134,38
226,134,59
68,371,25
127,371,24
127,1,182
371,226,50
371,1,66
836,3,391
836,46,409
836,68,75
836,81,50
836,112,41
836,154,49
496,1,63
3,496,183
494,154,30
494,3,173
25,874,345
25,1,98
25,242,29
387,874,43
387,1,98
387,242,21
67,387,63
874,874,623
874,1,233
242,874,63
46,874,1117
67,874,90
67,1,277
46,242,266
67,242,45
67,46,455
41,874,506
874,827,52
112,874,263
874,16,353
41,827,112
112,41,324
41,16,426
41,41,163
67,41,215
112,827,53
827,16,162
67,827,148
16,16,176
67,16,406
874,3,733
85,900,43
112,85,234
85,902,35
296,900,129
900,3,257
112,900,27
900,902,2
296,902,33
3,902,102
112,902,13
908,126,11
126,63,18
245,126,6
387,126,40
126,126,37
41,126,92
908,908,18
908,63,18
245,908,16
387,908,10
908,157,17
41,908,19
245,63,33
157,63,101
41,63,64
245,387,13
245,157,12
245,41,20
387,157,41
41,387,128
41,157,61
25,908,64
245,25,62
25,157,125
914,154,16
154,424,21
914,3,159
3,424,203
41,494,36
41,914,18
41,424,47
494,914,15
494,424,2
26,494,39
914,424,5
26,914,16
26,424,23
133,25,229
67,133,38
284,133,4
284,25,71
67,284,33
296,16,311
900,128,9
900,16,49
296,296,137
836,247,26
836,4,62
836,137,17
836,837,2
247,4,48
46,247,159
137,247,9
837,247,2
137,4,14
837,4,5
837,3,26
137,46,72
46,837,29
137,837,3
137,25,50
837,25,120
932,25,489
836,932,13
932,247,11
932,4,23
932,3,78
46,932,43
137,932,3
837,932,11
171,41,105
41,128,110
171,25,212
171,296,116
171,171,44
171,128,36
137,137,8
137,67,11
67,127,116
25,127,403
966,258,118
966,914,9
258,914,6
209,914,9
966,209,79
258,209,69
126,194,29
95,194,5
95,126,4
95,134,18
127,194,61
95,127,25
642,41,52
642,874,46
642,296,49
642,13,21
642,68,22
642,112,29
642,16,63
642,4,61
41,13,49
68,41,57
296,874,101
13,874,10
68,874,44
874,4,115
296,13,55
46,13,101
68,13,61
112,13,37
13,4,73
46,16,785
68,16,160
95,63,33
85,157,182
95,85,46
836,26,49
368,26,51
112,26,102
26,733,32
387,26,63
26,209,35
112,368,173
368,733,20
368,387,53
368,368,39
368,209,42
112,733,79
112,387,132
112,209,190
733,16,153
209,16,68
387,733,26
733,209,6
387,209,29
1012,344,22
1012,3,118
1012,874,68
1012,4,26
1012,368,9
874,344,31
4,344,74
368,344,17
368,874,51
368,4,47
914,1,23
1029,1,65
2,914,12
2,1029,35
914,1029,13
914,233,6
85,914,76
914,16,95
1029,233,15
85,1029,81
16,1029,155
85,233,52
16,233,81
1047,4,4
25,226,137
1047,226,4
1047,25,78
1047,932,14
932,226,1
209,194,22
25,194,173
85,127,147
1073,67,11
1073,128,25
1073,25,53
28,827,2
4,827,116
127,827,38
827,371,33
171,827,75
827,81,43
25,827,113
1084,827,5
27,827,17
933,827,3
28,4,6
28,127,7
28,371,2
171,28,10
28,81,4
28,1084,4
28,933,5
4,371,37
171,4,109
1084,4,9
27,4,43
933,4,5
171,127,67
1084,127,19
27,127,44
933,127,9
171,371,26
371,81,31
1084,371,7
27,371,10
933,371,2
171,81,169
171,1084,15
171,27,19
171,933,9
1084,81,9
27,81,15
933,81,3
1084,25,257
933,25,96
1084,27,70
933,1084,3
933,27,12
247,154,28
172,154,20
172,247,13
46,171,371
171,1,181
1096,1,91
430,296,39
107,247,21
107,543,8
107,1,22
107,242,12
107,874,26
107,1096,6
247,16,83
543,247,14
242,247,22
247,874,26
247,1096,15
543,16,43
242,16,49
1096,16,95
46,543,80
46,1096,122
543,1,116
543,242,14
543,874,29
543,1096,19
242,1096,12
874,1096,83
3,1096,248
430,134,57
134,134,112
836,642,36
836,41,83
836,85,124
642,25,149
85,41,304
932,113,10
178,16,246
178,1,177
2,178,69
2,296,101
55,494,4
494,344,25
55,344,16
26,344,61
55,26,33
85,178,263
242,178,37
209,156,8
112,258,137
25,258,201
258,156,28
112,156,74
25,156,104
209,233,1
258,233,11
112,233,76
25,233,180
156,233,8
159,874,22
85,336,15
348,1174,3
1174,319,6
1174,424,8
1174,3,80
348,319,4
348,424,8
319,424,17
2,226,54
25,734,85
440,874,77
251,874,52
734,874,82
251,440,20
440,734,36
251,734,21
25,914,68
914,874,192
440,914,8
251,914,7
734,914,16
112,1199,32
112,932,85
112,1048,24
1199,25,85
