Id,Label,Kind,Weight
370854282,@LeaSalame,personne,29
311601642,@ericcoquerel,personne,11
209825928,@GDarmanin,personne,38
1282423211880255493,@_IDVL,personne,120
932615724614471680,@AfpFactuel,personne,16
338985020,@afpfr,personne,408
8460572,@LePoint,personne,102
24744541,@lemondefr,personne,1057
179530581,@booba,personne,588
471163803,@GilbertCollard,personne,36
19491190,@attac_fr,personne,13
490126636,@NicolasSarkozy,personne,238
1214315619031478272,@Mediavenir,personne,238
53029114,@humanite_fr,personne,39
603018371,@Footballogue,personne,172
270466816,@laRadioNova,personne,11
378632690,@Cyrilhanouna,personne,605
109263459,@Sante_Gouv,personne,32
300776956,@Medinrecords,personne,20
359979086,@jpraffarin,personne,18
771606164,@ActuFoot_,personne,573
520449734,@MarionMarechal,personne,53
105165371,@andrebercoff,personne,22
2649991,@20Minutes,personne,257
14237828,@MarleneSchiappa,personne,25
394663818,@CDechavanne,personne,24
555075044,@Olivier_Truchot,personne,10
119538278,@WalyDIA,personne,16
79962986,@TotalEnergies,personne,83
123830541,@RMCInfo,personne,32
34294667,@RTLFrance,personne,114
49969223,@vpecresse,personne,47
895309295591489539,@JimmyDeuxFois__,personne,11
1280415061367033858,@E_DupondM,personne,24
17487476,@MichelBarnier,personne,23
286840245,@veroniquegenest,personne,11
9651232,@JulienPain,personne,12
26073581,@Anne_Hidalgo,personne,156
755345378904510464,@FranceRMCF,personne,76
231818777,@alyaum,personne,64
104105131,@RMCsport,personne,224
18167178,@laprovence,personne,29
27412519,@sudouest,personne,44
272401679,@datirachida,personne,20
28565356,@pierremoscovici,personne,19
19900973,@partisocialiste,personne,24
33887820,@Midilibre,personne,17
17710206,@EELV,personne,18
190266167,@SamuelEtienne,personne,37
82616429,@lyoncap,personne,10
978184280,@DamienRieu,personne,18
2574472352,@clemovitch,personne,29
200659061,@UPR_Asselineau,personne,23
357412940,@franceinfoplus,personne,41
810446802,@Reporterre,personne,13
868463240019419136,@salomesaque,personne,17
427246481,@GuiraudInd,personne,14
578189188,@GaccioB,personne,12
910127605277495297,@LeMediaTV,personne,15
122966834,@cavousf5,personne,20
928444328,@Thinker_View,personne,13
14430936,@Inafr_officiel,personne,26
122034654,@drmartens,personne,18
155948847,@Senat,personne,51
16717501,@Elysee,personne,287
276934698,@valerieboyer13,personne,12
5973812,@Korben,personne,13
1900027512,@Enthoven_R,personne,23
16222469,@C_Barbier,personne,50
18936161,@lequipe,personne,649
427288938,@BCazeneuve,personne,23
765849247262633984,@brutofficiel,personne,80
4251447981,@EtatMajorFR,personne,21
388981507,@laurentbazin,personne,11
248736864,@RATPgroup,personne,10
19438626,@laurentwauquiez,personne,38
92849144,@F_Desouche,personne,16
33584794,@googlenews,personne,31
21313364,@lobs,personne,156
267084550,@Caroline_Roux,personne,13
260280517,@Conseil_constit,personne,18
947601090,@olbesancenot,personne,10
946343071,@TheThomasVDB,personne,11
1183418538285027329,@ZemmourEric,personne,40
65416867,@Charlie_Hebdo_,personne,54
117761523,@yjadot,personne,11
26031424,@MartineAubry,personne,17
710885582780628996,@lestreamFR,personne,30
1235301391104716800,@BadMedicalTakes,personne,26
42497567,@mdiplo,personne,24
356902110,@Bruce_Toussaint,personne,34
1107456895,@GMeurice,personne,35
18551800,@Nain_Portekoi,personne,13
2880667257,@BandaiNamcoFR,personne,15
1496216082,@s_assbague,personne,12
16884402,@ladepechedumidi,personne,12
2885493519,@DmytroKuleba,personne,111
1667162474,@CGTNFrancais,personne,99
456777022,@JeanMessiha,personne,16
759251,@CNN,personne,6107
6770022,@rtlinfo,personne,18
360668525,@DanielRiolo,personne,60
80410029,@terracid,personne,172
1072300501,@christine_kelly,personne,28
423427851,@KarimZeribi,personne,12
234948120,@ruthelkrief,personne,11
1048802927756922880,@FrenchHist,personne,11
170404151,@anatolium,personne,16
49393889,@PaulLarrouturou,personne,15
93644596,@Economie_Gouv,personne,22
85286475,@lestrepublicain,personne,11
277407660,@operadeparis,personne,27
38409296,@Abbe_Pierre,personne,15
153810519,@MedvedevRussiaE,personne,117
60927960,@renaudpila,personne,10
69060064,@France3tv,personne,50
19380829,@Yahoo,personne,143
261860968,@fxbellamy,personne,11
296824934,@orange,personne,26
326698989,@canalplus,personne,340
1291384381068783631,@LMPositif,personne,46
26547012,@Tof_Beaugrand,personne,96
108561712,@EnvoyeSpecial,personne,18
223409548,@marseille,personne,18
1690415646,@justice_gouv,personne,22
10681662,@LP_LaPresse,personne,83
103918784,@davidlisnard,personne,11
27889439,@Challenges,personne,24
15947602,@Change,personne,152
157981564,@EU_Commission,personne,179
1146329871418843136,@vonderleyen,personne,141
1332295126174068736,@blast_france,personne,10
771012227147165696,@_dieuoff,personne,178
948419794759553024,@ordurebizarree,personne,74
218659501,@SNCFVoyageurs,personne,21
94366884,@mathieumadenian,personne,11
25073877,@realDonaldTrump,personne,8768
69032746,@RoyalSegolene,personne,78
951372152,@RaymondLeMatin,personne,16
1280223158025453569,@cpastibo,personne,16
200814625,@SophiaAram,personne,28
492648852,@le_gorafi,personne,141
395503646,@Petit_Prof,personne,14
62747302,@Interieur_Gouv,personne,82
398785825,@DIVIZIO1,personne,27
730695757536317440,@MichelOnfrayTv,personne,11
154611570,@cafepedagogique,personne,10
2580787003,@BlaguesDessins,personne,11
353732330,@emma_ducros,personne,11
130320246,@DariusRochebin,personne,14
742143,@BBCWorld,personne,3941
1233151236154761217,@L_ThinkTank,personne,20
864830560560132097,@agnesbuzyn,personne,13
2194243029,@idrissaberkane,personne,26
20043573,@lalibrebe,personne,27
20793816,@amazon,personne,522
42400789,@regionbretagne,personne,11
46479088,@BHL,personne,13
726076562,@psgcommunity_,personne,30
203311649,@mbockcote,personne,16
191818794,@Sheshounet,personne,20
464695627,@LaurentDelahous,personne,26
137253079,@LaTribune,personne,26
49923073,@Nice_Matin,personne,24
71016845,@Paris,personne,217
2907015490,@LwarhibaM,personne,11
140776364,@bfmbusiness,personne,28
1446932149148344320,@ClownWorld_,personne,107
720565247153684480,@AniceLajnef,personne,12
37910288,@LeTelegramme,personne,15
2670726740,@LulaOficial,personne,718
368980703,@Ecologie_Gouv,personne,22
17508660,@CecileDuflot,personne,42
3150140481,@MushobekwaMa,personne,10
12786782,@davduf,personne,14
783214,@Twitter,personne,6551
376679830,@NicolasDOZE,personne,11
318329783,@PompiersFR,personne,11
23756134,@BlackRock,personne,59
15892162,@ParisMatch,personne,128
854342210,@_BeFootball,personne,165
1038091753411293185,@stanislasrig,personne,12
188840584,@carolinedehaas,personne,10
3302900980,@Ligue1UberEats,personne,144
2204263431,@LarrereMathilde,personne,12
47399805,@edwyplenel,personne,106
34235414,@ELLEfrance,personne,54
93484066,@ChTaubira,personne,83
2967623435,@rglucks1,personne,30
15796976,@pierrehaski,personne,23
357487383,@Nagui,personne,53
20646711,@UNESCO,personne,367
1725137533,@KMbappe,personne,1157
835230594,@FFF,personne,103
1350083185774891010,@ChdOrnellas,personne,21
1101771126,@jsfnet,personne,25
20230015,@radiofrance,personne,22
627673190,@ChampionsLeague,personne,4691
413839619,@nadine__morano,personne,26
1366565625401909249,@WallStreetSilv,personne,65
72343264,@LaurenceFerrari,personne,28
32861321,@RFI,personne,419
20224969,@Slatefr,personne,71
148583252,@apollineWakeUp,personne,31
16097522,@lesinrocks,personne,111
772464367,@librairesecache,personne,12
105103721,@TV5MONDEINFO,personne,27
1579448294173990913,@Enezator,personne,26
546720037,@AlterEco_,personne,11
778026984,@76actu,personne,12
39512482,@Francetele,personne,27
