Source,Target,Weight
171,41,105
41,128,110
171,296,116
171,171,44
171,128,36
67,127,116
966,258,118
966,914,9
258,914,6
209,914,9
966,209,79
258,209,69
126,194,29
95,194,5
95,126,4
95,134,18
127,194,61
95,127,25
41,13,49
68,41,57
296,874,101
13,874,10
68,874,44
874,4,115
296,13,55
46,13,101
68,13,61
112,13,37
13,4,73
46,16,785
68,16,160
95,63,33
85,157,182
95,85,46
112,368,173
368,733,20
368,387,53
368,368,39
368,209,42
112,733,79
112,387,132
112,209,190
733,16,153
209,16,68
387,733,26
733,209,6
387,209,29
874,344,31
4,344,74
368,344,17
368,874,51
368,4,47
914,1,23
1029,1,65
2,914,12
2,1029,35
914,1029,13
914,233,6
85,914,76
914,16,95
1029,233,15
85,1029,81
16,1029,155
85,233,52
16,233,81
209,194,22
85,127,147
4,827,116
127,827,38
827,371,33
171,827,75
827,81,43
4,371,37
171,4,109
171,127,67
171,371,26
371,81,31
171,81,169
247,154,28
172,154,20
172,247,13
46,171,371
171,1,181
1096,1,91
247,16,83
543,247,14
242,247,22
247,874,26
247,1096,15
543,16,43
242,16,49
1096,16,95
46,543,80
46,1096,122
543,1,116
543,242,14
543,874,29
543,1096,19
242,1096,12
874,1096,83
3,1096,248
134,134,112
85,41,304
178,16,246
178,1,177
2,178,69
2,296,101
494,344,25
85,178,263
242,178,37
209,156,8
112,258,137
258,156,28
112,156,74
209,233,1
258,233,11
112,233,76
156,233,8
159,874,22
319,424,17
2,226,54
440,874,77
251,874,52
734,874,82
251,440,20
440,734,36
251,734,21
914,874,192
440,914,8
251,914,7
734,914,16
171,544,29
245,544,6
156,544,8
245,171,56
171,156,22
245,156,13
46,251,230
251,178,46
171,284,70
245,284,18
251,4,88
112,494,296
494,494,8
209,494,46
85,422,137
16,422,85
2,422,43
296,188,39
188,422,9
85,188,37
188,16,74
2,188,25
188,1,51
1096,1096,43
368,1096,21
7,1096,45
46,368,190
46,7,84
368,1,146
368,7,38
68,368,54
68,734,18
368,226,39
368,734,18
874,226,23
734,226,9
159,368,24
159,734,8
85,874,108
287,874,23
85,68,200
966,154,33
67,154,116
387,154,49
344,154,47
154,1,103
2,154,70
966,3,238
966,296,46
67,966,41
387,966,33
966,344,22
966,1,21
2,966,13
67,2,112
387,344,77
2,387,56
344,1,79
2,344,67
245,112,19
112,171,69
172,112,28
171,233,32
172,233,13
245,172,13
194,63,19
16,63,115
123,63,40
543,63,30
194,16,77
194,123,6
543,194,4
16,123,79
543,123,15
707,900,18
707,579,14
579,900,9
908,3,234
908,154,23
251,16,157
16,438,53
328,16,73
251,438,17
251,328,17
544,1,131
2,544,63
251,247,50
247,287,21
296,247,55
319,81,11
112,7,44
7,319,11
4,424,63
424,1,101
85,424,103
46,424,102
424,438,5
328,424,8
4,4,88
4,438,48
328,4,50
438,1,166
328,1,134
85,438,42
85,328,54
494,134,15
67,494,27
368,494,52
68,7,31
7,422,17
7,222,26
222,16,283
68,422,20
68,222,74
222,422,48
46,422,179
222,344,66
222,233,18
46,233,204
344,233,34
251,127,84
127,178,41
127,422,43
120,134,51
387,120,16
251,120,51
387,134,126
251,387,37
296,827,104
296,157,91
827,157,26
46,827,290
46,157,153
154,123,36
154,544,47
902,154,5
908,123,11
908,544,12
908,902,4
544,123,20
902,123,9
902,544,7
85,344,117
85,222,143
127,247,69
361,4,22
361,126,8
1096,81,10
1096,226,20
159,63,32
247,63,36
166,247,15
247,128,34
247,827,23
166,63,22
63,128,37
251,63,90
166,128,12
166,4,17
166,827,10
166,16,77
251,166,22
128,128,114
4,128,69
827,128,28
827,827,18
251,827,67
251,723,20
723,544,40
723,424,9
723,579,8
579,3,213
251,544,38
251,424,58
251,579,25
424,544,11
579,544,8
579,424,12
159,171,47
707,1,54
85,707,61
707,127,16
1516,707,4
707,908,6
251,707,28
1516,1,20
908,1,45
1516,85,39
85,908,55
1516,127,5
908,127,6
1516,908,4
1516,3,69
251,1516,17
251,908,14
733,127,47
222,157,28
914,157,14
68,914,10
222,914,6
827,1,196
46,966,53
171,247,27
251,171,57
112,1516,10
112,178,66
41,156,58
156,902,368
1516,156,365
156,178,15
156,16,58
156,874,242
41,902,12
1516,41,35
1516,902,245
178,902,15
902,16,23
874,902,229
1516,178,14
1516,16,28
1516,874,220
178,874,77
112,112,167
707,247,10
247,319,8
2,247,45
707,319,17
2,707,15
319,1,50
2,319,19
41,287,36
171,287,43
7,361,11
171,7,33
361,16,56
171,361,17
112,522,36
522,157,13
522,1,42
67,522,64
522,13,12
112,157,51
112,1,142
157,1,150
67,157,87
13,157,17
13,1,76
67,13,72
522,296,50
68,827,67
112,966,238
966,16,122
188,4,49
188,222,6
46,188,70
172,188,15
172,4,35
172,222,46
46,172,282
707,233,19
707,7,8
707,707,7
67,707,56
707,361,21
